Hash,en,vi,char,
story.Global.prologue_ending_k6.text.7556ced05c7bb1aa9688e0fa3b800f3e24da4f39,"Maybe I'll try the ritual again, some other time.",Chắc sẻ mần lại nghi thức ở lúc mô đọ.,,
story.Global.prologue_ending_k6.text.9f55d20ac2f4c2ab9a99f63923a6d9681e83a56d,"Next time, I hope not to run into anyone.","Lừn sau, tui mong sẻ nỏ đụng tới ai hớt.",,
story.Global.prologue_ending_k6.text.774565040c017d7c82eeed4ec753e5ce628d6e9a,Dead End K6 - Snip snip,Dead End K6 – Xẹt Xẹt,,
,,,,
story.Global.prologue_ending_k7.text.1faf6ee8c43bd3f7f83824702bfa6cd9079f99bb,"And so, we left the school and walked home.","Rầu tụi tui ra tràng dà chạy dìa nhà.",Kat,
story.Global.prologue_ending_k7.text.4d1b355e80d9d842ff1a26fe9efdbbdfac8d806f,No one said anything for a while.,"Nỏ có đứa mô núa chi hớt.",Kat,
story.Global.prologue_ending_k7.text.907838182d990909f8f5e5e8a7c142be8f83ab52,(I think Kat is feeling down…),(Hình như bạn Kat đang nản.),Kaya,
story.Global.prologue_ending_k7.text.ef61cdc800bd79da44754d0f5bcea2af848705cb,(Yeah.),(Ời.),Saki,
story.Global.prologue_ending_k7.text.8cbf1b32fd90c465be5900317712e467d251be55,(Should we do something?),(Mần chi cho bạn chừ ?),Kaya,
story.Global.prologue_ending_k7.text.70090abb90491ec03c80856de5f7d41470fb1e41,(What's on your mind?),"(Mấy bạn nghỉ răng ?)",Juli,
story.Global.prologue_ending_k7.text.0c97c13d16a5f3e38294ef6e2b1fc8196e18ba85,(I don't know…),(Hỏng biếc...),Kaya,
story.Global.prologue_ending_k7.text.884f7ac1174030ede1347d792260f5342765472f,(Do you think Kat likes to sing?),(Hay lè cho Kat hát karaoke hỷ ?),Saki,
story.Global.prologue_ending_k7.text.91fbe4ea81fd3d03a8efdb9d972054a6e43175d7,(Hmmm…),(Hmmm...),Juli,
story.Global.prologue_ending_k7.text.afc2c43d835d6d238d10a8a9ef286bf73e23c624,"(Good idea, Saki!)","(Hay nớ, Saki !)",Kaya,
story.Global.prologue_ending_k7.text.922a788ffc9d0e6de4257c07aaabdbe39aa05249,"(Haven't seen you this excited about karaoke before, Kaya…)","(Quéo chộ bạn hứng hở đòi hét karaoke từ trước tới chừ, Kaya...)",Juli,
story.Global.prologue_ending_k7.text.afb42674fbfa842e149878bc03f27d023121f3a7,"(That's a yes, then?)",(Dị lè cho hẻ),Saki,
story.Global.prologue_ending_k7.text.ab7d36f2f9a7a7c2fbbed88e12147b8f0eee4b16,(Alright.),(Ời),Juli,
story.Global.prologue_ending_k7.text.c7572d80c587c5afc9d310549d578e2df0ee0d71,So…,Ê,Saki,
story.Global.prologue_ending_k7.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,…,...,Kat,
story.Global.prologue_ending_k7.text.feb6c3a737798b01159cc78037f9ff846933372f,We were thinking of going to this place…,Thiệc ga tụi tui đang tánh tới chổ ni...,Saki,
story.Global.prologue_ending_k7.text.12775f7f3ee5ad0ca46f8240a8f2fdc54df04c80,(I can't do this! She's ignoring me!),(Bạn dám thờ ơ bạn?),Saki,
story.Global.prologue_ending_k7.text.a6994f91e52e1cc39934cd111c242a0b2cd789e3,Kat!,Kat!,Juli,
story.Global.prologue_ending_k7.text.e777cea75af6ed97e936e9232e0161af3deec82e,Hmm?,Hả,Kat,
story.Global.prologue_ending_k7.text.470ed3ac582c3f926ff995b637c8bc241dffe029,Come with us.,Cọ đi hét dới bạn hong?,Juli,
story.Global.prologue_ending_k7.text.73fef01e230300ae6fc10ffd739157b067709157,Huh?,Hẻ?,Kat,
story.Global.prologue_ending_k7.text.0dfd56e8980ca5af124dfd0f239edf245e345ceb,Just come.,Đi cho biếc,Juli,
story.Global.prologue_ending_k7.text.b9eb95fd69a10e7e704eea3ec036707e94f75521,"Sure, whatever.","Củng đặng",Kat,
story.Global.prologue_ending_k7.text.513b2c5b6fe87d3e8d7d1057569c029897216eb1,(You're so good!),(Giỏi qué bạn âu !),Saki,
story.Global.prologue_ending_k7.text.39060fa865f06ea4f250f71a23d2f6445b4534db,(Are they trying… to cheer me up…?),(Mấy bạn đang động diêng miềng hẻ ?),Kat,
story.Global.prologue_ending_k7.text.95741f01ba97bd1346a0081f0d435d592539f3b3,(Maybe… things are better this way.),(Cọ khi như rựa là tốt rầu.),Kat,
story.Global.prologue_ending_k7.text.33e594b2f4dbc10ffc99749b3fae1c0c0204d7f4,"(I need to believe that much, at least.)",(Ít nhứt củng phải tin là rứa.),Kat,
story.Global.prologue_ending_k7.text.2863dac37c7151d249f68af6ee435665b58f7361,Dead End K7 - Girls' Night Out,Dead End K7 – Đám Gấy Đi Nhậu,,
,,,,
story.Global.prologue_ending_k8.text.aadb3c228ce36e4bd6a5b91c1b9af0295c221ed1,I didn't hear from the voice again.,Rầu nỏ nghe giọng nớ nựa.,,
story.Global.prologue_ending_k8.text.011cf5f485dda252a5db605095168574100eec84,"But, no matter how much I wanted to, I didn't scream for help.","Dầu cọ tuyệt dọng cở mô, tui củng nỏ la cứu.",,
story.Global.prologue_ending_k8.text.a85defd134c6ca4337254087d04c2d2177af347a,Someone will come for me… eventually.,Kỉu chi thì đứa mô củng sẻ tới cứu thâu.,,
story.Global.prologue_ending_k8.text.1215744cbb42a3f53737c44a88eac5aed283de43,I just know it.,Tui chỉ biếc rứa thâu.,,
story.Global.prologue_ending_k8.text.2fd2dad3266f20c1f944788ddc4f880332d8b52b,Dead End K8 - My Way,Dead End K8 – Đàng Miềng Miềng Đi,,
,,,,
story.Global.prologue_event_attempted_exit_girls.text.2d1147175f6d5d127925dd07225512b2f8b07e0d,We're… back here?,Quay lại... rầu hẻ?,Juli,
story.Global.prologue_event_attempted_exit_girls.text.c81fe5e920aca4e4d853deb47f4e771e37dce1f6,"Maybe this is the school's way of saying ""You can't leave now.""",Cọ khi tràng đang biểu miềng đừng ráng chạy khỏi đây hỳ,Kat,
story.Global.prologue_event_attempted_exit_girls.text.00ae205e25c912628e5a4f8cb5c410e415536ba4,How can you just say something like that?,Răng lại núa rựa?,Saki,
story.Global.prologue_event_attempted_exit_girls.text.37f0039c54a1e51837084fcf9e29b6f3481de199,Are we going home soon…?,Sắp dìa nhà đặng chưa?,Kaya,
,,,,
story.Global.prologue_event_sit_with_girls.text.28180a9bb790b972e3fbe0f59c1d6d904c052c9d,What are you doing? I thought you were busy.,"Mần chi nớ, tưởng bạn bận rầu.",Juli,
story.Global.prologue_event_sit_with_girls.text.6bcbb02d937ec25095efec431109deaf9da90b8e,I'm just taking a break.,Ngồi nghỉ xíu thâu.,Kat,
story.Global.prologue_event_sit_with_girls.text.70e168b5ef8eb7401ba86e482f21ceab6c4b2121,Is that so…,Dị hẻ...,Juli,
story.Global.prologue_event_sit_with_girls.text.b7984130377205db885aa7383d60c46edb4d4684,"Are you scared? You're scared, aren't you?",Bạn sợ hẻ? Sợ rầu hẻ?,Saki,
story.Global.prologue_event_sit_with_girls.text.934fe08714d06b52c3b05d52c68f96f7ece24d0e,Did you come to us for comfort?,Chạy tới chổ tụi bạn đòi dổ nín hẻ?,Saki,
story.Global.prologue_event_sit_with_girls.text.d61ba31e4f266bf4129a55bd68aab8388f577e5d,The only scary thing here is that attitude of yours.,Cấy đáng sợ ở chổ ni là thái độ cụa bạn đọ.,Kat,
story.Global.prologue_event_sit_with_girls.text.0d8a0a7b871631e9389919f8b8058d760daa49f7,"She's still upset at you messing up our night, as you can see.","Chộ Saki tề, bạn dẩng đang bực dụ bạn phá đám tề.",Juli,
story.Global.prologue_event_sit_with_girls.text.4c77c6bc11442bb3368aeace77d96ce4ff347d98,It's okay to be scared…,Sợ củng bình thàng mờ,Kaya,
story.Global.prologue_event_sit_with_girls.text.d7e50e5d4bcde63c91096535519913a17af4470b,"Oh, I know! Why don't you show us your ritual as an apology?","Hay lè bạn cho tụi bạn coi nghi thức coi như chuộc lủi he",Saki,
story.Global.prologue_event_sit_with_girls.text.033b205074155231d5e3dfae0b781e967157882d,"I'm kind of interested, too.",Bạn cụng khá cọ hứng,Kaya,
story.Global.prologue_event_sit_with_girls.text.c3e9d2ea53efa91a565e62bdb6a96974f85914ff,"Well, the rules say…","Nhưng theo lựt...",Kat,
story.Global.prologue_event_sit_with_girls.text.49cbcaaefe9016eddbceee5b087374bdfaf41fd7,"Oh come on, you don't ACTUALLY think it's gonna work, do you? It's just a game, as you said.","Thâu nà, bạn củng đâu cọ tin trò nớ mô. Hắn (nó) chỉ lè trò nhởi thâu mờ như bạn đả núa.",Saki,
story.Global.prologue_event_sit_with_girls.text.6cdcae6600a2e2c8c28356bb5b80f487b77e2c02,The rules don't actually matter.,Kệ tía ba cấy lựt nhởi đi,Saki,
story.Global.prologue_event_sit_with_girls.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,…,...,Kat,
story.Global.prologue_event_sit_with_girls.text.cc523523e6c9525733e32983eafcc406747a4d89,I suppose not.,Củng đúng,Kat,
story.Global.prologue_event_sit_with_girls.text.a183bf089d90c341b4636dd8bc976b71f03c60b3,"Then it's decided, we will tag along with you.","Quyết rầu hỷ. Chừ mấy bạn sẻ đi theo bạn.",Juli,
story.Global.prologue_event_sit_with_girls.text.7e044b515cf648e1fe0f1de4aab42fa7e0914aa1,You're tasked with entertaining us now.,Ráng mần mấy bạn dui lên hen,Juli,
story.Global.prologue_event_sit_with_girls.text.1477c7c6da8527cfd566cd2f5a868015bb88870b,"Well, I suppose it can't be helped.","Ời.",Kat,
story.Global.prologue_event_sit_with_girls.text.3fca5477fa872a76a953cd6fde6bb02a5f073ce5,"Let's go, then.",Đi thâu.,Kat,
,,,,
story.Global.prologue_hod_event_wake_up.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,…,...,,
story.Global.prologue_hod_event_wake_up.text.5c63ff31864c31803e6e16cbd7f2e8361ab99123,I'm back in this hallway…,Dìa lại hành lang ni rầu...,,
story.Global.prologue_hod_event_wake_up.text.91e6bee0edce6c84e46fa755976033f816630631,I don't like this… I need to get out of here…,Hỏng ưa ở chổ ni mô... Phảy chạy đi thâu.,,
,,,,
story.Global.prologue_intro.text.0bc3d9ff4c4f11e9b23a9496d3872d9e4569a420,Whoa… weird dream.,Ngủ đẻ qué.,,
story.Global.prologue_intro.text.fa92faa7deab6c7fda5948018c93ae668070a383,Everyone must be gone already.,Chắc mấy bạn tê dìa hớt rầu.,,
story.Global.prologue_intro.text.eac7803e0fe7212ecc9c1ce985463158f2fd25d4,Looks like it's eleven… I should get to it.,11 giờ rầu... Phải bắt đầu thâu.,,
,,,,
story.Global.prologue_intro.text.ff8858e2985a1e188a13f20e82be444f317f89bb,Ohhhh no…,Chớt tía...,Saki,
story.Global.prologue_intro.text.82962c4c07eeb65c033eff6ab4194d228f511041,You moved it!!,Bạn dừa chuỷng cấy tay mờ,Juli,
story.Global.prologue_intro.text.f503fc6417fae70b61afcffef79c68cfc375aecd,"I didn't, I swear! You know I hate this type of thing!","Mô cọ, bạn nỏ ưa kỉu eng gian nớ lốm",Saki,
story.Global.prologue_intro.text.0145067f3eae6a3eddce036f9657f3ccacdd3529,This can't possibly be happening…,Răng lại rựa?,Kaya,
story.Global.prologue_intro.text.12f9e12bdc21ab8e11efc52ea66050debc4933d5,"It spelled ""DIE""!!-","Hắn (nó) ga chử ""DIE"" nà",Saki,
story.Global.prologue_intro.text.7d582383882a626491b5d5b534ad2a61aca7b1da,Oh my… Oh no…,"Trầu quâu. Dị lè...",Kaya,
story.Global.prologue_intro.text.260a45ef6d7560e50ab6382c1c847907bab27850,Stop joking around!! This is serious!!,Nghiêm túc hớt đi mấy bạn,Juli,
story.Global.prologue_intro.text.196d679ed61d1f2f724d592d5ab9ea23c3c01719,…Aah…. we should not have played this…,Tự dưng biểu nhởi trò ni mần quéo chi,Kaya,
story.Global.prologue_intro.text.bcaf537fae31809e1d3d434d5bdd4c0084e07205,I TOLD you we're going to be cursed!!,Bạn đả biểu là miềng sẻ bị nguyền rụa rầu !,Saki,
story.Global.prologue_intro.text.6840f9fa6ac8d3e6fa0f7232d25f8c262c8b892a,WHAT WAS THAT!?,Chi nớ ?!,Juli,
story.Global.prologue_intro.text.3e0d566749651ab7f431f088e56cb5657ec35c45,Is that a ghost?? We summoned a ghost!,Ma hẻ? Tự dưng kêu ma chừ ni lồm chi ?,Saki,
story.Global.prologue_intro.text.7e141bf4743504e9a7b95faa99aa0ca9b0f82998,oh my god oh my god oh my god oh my god-,trầu quâu trầu quâu trầu quâu trầu quâu-,Kaya,
story.Global.prologue_intro.text.913cd79aaf0435f0844f8473d4c420bea559abfd,YOU'RE MAKING TOO MUCH NOISE,Ồn qué !,Kat,
story.Global.prologue_intro.text.db6cef864b3d572fa09f1f16d9fe3d1750bcaf11,Oh…It's just Kat…,Hẻ... Bạn Kat mờ,Juli,
story.Global.prologue_intro.text.7d155891c06b39cbad00bf11228e17ec3e39b82d,What's with the crazy knocking? What was that for!?,Răng lại gỏ cửa như dầy? Mún chi?,Saki,
story.Global.prologue_intro.text.631761053645640a7e6336307c8d79e9876476ba,"Did that spook you? You're not supposed to be here, you know?",Nhát hỷ. Mờ dốn dỉ mấy bạn cọ đặng ở đây mô.,Kat,
story.Global.prologue_intro.text.1a209a7387ffe4214154b62b2c8d197d53b09ba0,I could say the same about you. Why are YOU here?,Mi củng rựa. Răng hỏng đi dìa nhà đi,Juli,
story.Global.prologue_intro.text.672c013f03867ba4fef295d30016d6195cf6ed59,Actually…,Thiệc ga,Kat,
story.Global.prologue_intro.text.393a429647ab6869a1f6377961299ef784f0e34d,Say hello to the new member of the occult club!,Bạn đả trở thành thành diêng mới ở trung CLB quyềng bí.,Kat,
story.Global.prologue_intro.text.316c0dc7474eae225044af0abd2242d69f585e68,I had the wonderful opportunity to meet all of the members yesterday.,"Bựa qua còn đặng gặp hớt đàn eng chị nựa mờ.",Kat,
story.Global.prologue_intro.text.57892c2b8d5f5ed4214c1f22bce2b4d269d42326,I don't recall seeing you there.,Nhưng quéo nhớ cọ chộ mấy bạn chưa.,Kat,
story.Global.prologue_intro.text.fb1bda57693260e83b1bb49bfc7d834b33a9bbca,"You three are not part of the club, are you?",Chắc lè nỏ phảy thành diêng cụa CLB hỳ,Kat,
story.Global.prologue_intro.text.584a67cd75a0f36ffa9fcecb8f18cbd946b0e21f,"That's funny. I didn't pin you of all people as the ""occult"" type, Kat.","Đù móa. Cở bạn mờ đặng dô nhởi ba trò ni hà",Saki,
story.Global.prologue_intro.text.0c5b1b3b8e498a13766867dbdb19f32a2badc58b,That's because I'm not.,"Chánh xác, dì bạn đâu cọ biếc mô.",Kat,
story.Global.prologue_intro.text.a5b9f6c8ce50e9561367f6a4c326854ce64c51fd,H-Hey!! We were doing something here!,Mấy bạn còn đang mần mờ !,Juli,
story.Global.prologue_intro.text.e98f99a61215079797f890ec47fa3b06f914061b,I'll save you the trouble. All three of you moved it.,Để thông nảo cho. Thiệc ga mấy bạn nảy chừ chỉ đang chuỷng hắn thâu.,Kat,
story.Global.prologue_intro.text.73fef01e230300ae6fc10ffd739157b067709157,Huh?,Hả !,Kaya,
story.Global.prologue_intro.text.a036d2b13bc23a212e85c186a37255420eb1f199,The planchette. From your game. You all moved it. There's no ghost in the room.,Cáy con cơ trung trò nớ. Mấy bạn chỉ đang chuỷng hắn thâu. Ma lồm quéo chi cọ,Kat,
story.Global.prologue_intro.text.e64aa7f1c54c33fef61fd23ed74f0c3fb31ea8b3,There's a simple scientific explanation: it's called the ideomotor effect.,"Núa theo tên khuê học là ""Hịu ứng dậng động dô thức"".",Kat,
story.Global.prologue_intro.text.3c4b596ea6fba2d0a112ceed9808a9bb6a3ed1a9,"Simply put, just like your body reacts to pain reflexively, it may also react to ideas and move on its own. It Juli much bypasses the part of the brain which we use for conscious behavior.","Giúng như phởn ứng theo cách cọ phởn xạ dới đau, cơ thể ngừi còn phởn ứng dới suy nghỉ và tự hắn cử động. Tín hịu hắn bỏ quơ lè một phần của nảo mà ta xài để thực hiệng hành di cọ ý thức.",Kat,
story.Global.prologue_intro.text.6c048a9f444077d649441fd46998d58edcd58430,It's not all that different from blinking or breathing. The effect is even stronger when a bunch of gullible people who are desperate to believe in ghost stories get together and play.,Hắn giúng như diệc chớp mắt hay thở. Khi một bầy khỉ cứ một mực tin vô chiệng ma mà tụm lại nhởi thì hắn còn phát quy hơn nựa.,Kat,
story.Global.prologue_intro.text.63477c861ae7c4635610e8572b0c4e084cd5026c,"There was an experiment where the players were blindfolded and suddenly the ""ghosts"" could no longer spell messages. You can try it if you don't believe me.","Cọ một thí nghịm mà ngừi tham gia phảy che mắt, tự dưng cun ma nỏ còn truyền đặng thông tin mô nựa.",Kat,
story.Global.prologue_intro.text.fb7d32b7bb5845a59bacbbc419e20797fd9d169d,"In other words, your mysterious answers from beyond… are really just your imagination playing tricks on you.","Núa cho dể hỉu, ""tin nhéng từ thế giứi bên tê"" mờ tụi bay nhận đặng, thiệc chứt chỉ lè trí tưởng tượng mấy bạn bày ga mờ thâu.",Kat,
story.Global.prologue_intro.text.fa0f99df1c933709cd4f05afbead12f19f720293,Great job killing the mood.,"Trầu quâu giỏi qué, chừ mất mood hớt rầu",Saki,
story.Global.prologue_intro.text.3db63af8ea38af8d0a991e4ecf78da74b488dd07,You must be fun at parties.,Thằn đồng tề mấy bạn,Juli,
story.Global.prologue_intro.text.65d3732f30aebe84f9351d112efc26e8712d6b49,"Thanks a lot, Kat.",Cốm ơng dì đả núa,Kaya,
story.Global.prologue_intro.text.b287b859a8aaa56debbd10fa05d61898fa219549,Always a pleasure.,Nỏ có chi,Kat,
,,,,
story.Global.prologue_intro.text.6ca84bce4dc018a9e83e4d85077b34e91de6f4b7,"(Alright, time to search.)","(Chừ phẩy đi kiếm nguyên lịu thâu)",Kat,
story.Global.prologue_intro.text.95db6927fbe525dacf5c5ea81a6f0ee76a6774a1,(I should go over my notes to make sure I don't forget anything.),"(Để chắc ăng nỏ quên thì miềng sẻ ngó lại ghi chú)",Kat,
,,,,
story.Global.prologue_item_chalk_get.text.7fcfeb525c5daf1677c919384a00c06fe775e4d7,I already have enough chalk but… the more the merrier!,Miềng đả cọ đủ phấn rầu nhưng chắc lụm dài cục nửa cho dui.,Kat,
story.Global.prologue_item_chalk_get.text.59a38df9efa8b663acdc42eed3b4b771b1058a83,What kind of ritual is this…?,Nghi thức kỉu quéo chi đây ?,Juli,
,,,,
story.Global.prologue_item_chalk_get.text.91880d269b7c303f2492f5768525adb2cff8f5a3,Do I really need all of this chalk…?,Cọ cần tới nhìu cục phấn dị hong?,Kat,
,,,,
story.Global.prologue_item_curtains_on_wrong_window.text.fb2d41d9de9ffb9d4f4d9b210f62b288a52a7d3b,This window already has curtains.,Cựa sổ ni treo rèm rầu.,,
,,,,
story.Global.prologue_item_lighter_on_plant.text.ba57dc5b65436266ce63060ed298e9e28bd1f98d,The thought of its burning beauty charms you.,Tưởng tượng dẻ điệp cụa cấy cân bị cháy mờ quýng rủ gớm,,
story.Global.prologue_item_lighter_on_plant.text.13e7c99c448e036b88626da6d4785e0b2d0a510c,"I really shouldn't, though.",Mà thâu miềng nỏ nên mần rựa.,,
,,,,
story.Global.prologue_item_notebook.text.452d0e455e1fd507821ab387ea105db875bbc7c7,It looks like a private journal.,Hình như là nhựt ký,,
,,,,
story.Global.prologue_item_notebook.text.d5adb19ac37e74fc0812089aeb873e8678f109fc,This looks like that girl's private journal.,Nhìn giúng nhựt ký cụa bạn nớ qué,,
,,,,
story.Global.prologue_item_notebook.choice.text.b12c232a4005e91d394de9ab6965418fee437693,Look through it?,Mở ga coi hỷ ?,,
story.Global.prologue_item_notebook.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,Ờ,,
story.Global.prologue_item_notebook.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No,Nỏ,,
,,,,
story.Global.prologue_item_notebook.text.4d37edb20a5abcce6c703bf72d5cf3dedad92e67,Let's see…,Để coi...,,
story.Global.prologue_item_notebook.text.3d4cfe9ae07971ebe34744c2f96e9f733f674254,"Blegh, it's just math problems… and girly doodles all over.","Toàn lè mớ bài tón... dới mấy hình vẻ bạy bạ thâu",,
story.Global.prologue_item_notebook.text.71ca50e7baa83505f6b5e6492bb07129818e24fb,This isn't worth my time.,Cáy ni chỉ phí thừi gian cụa miềng thâu.,,
,,,,
story.Global.prologue_item_notebook.text.d4bb8c0668eed38119a5c8b6381fd6ce87d00f8b,A math notebook. Nothing worth looking through.,Tập tón. Nỏ cọ chi để đáng coi hớt.,,
,,,,
story.Global.prologue_item_notes.text.aa75d6edf5104c9b684055c37aaec4d4c51fe085,"(Alright, so I need to search the school for the items first.)","(Trước hớt phảy kiếm nguyên lịu trung tràng cấy.)",,
story.Global.prologue_item_notes.text.f529f7413af21949f3f26140290a1e3e0ec54b38,(The rune should be in this room…),(Chắc là cáy rune ở trung buồng ni),,
story.Global.prologue_item_notes.text.a96b5fccf3cb71a42313671f2fef090aeed565b5,(…somewhere.),(...quặc là chổ mô hỏng biếc nựa.),,
,,,,
story.Global.prologue_item_scissors.text.80f0585437b706612010d41fb9af91e109df19fb,"Well, I need a tuft of hair for the ritual…","Miềng cần nạm tóc cho nghi thức ni...",,
,,,,
story.Global.prologue_item_scissors.choice.text.9c0922cd047c8dd932079bbca22928ce7012d9e7,Should I cut my own hair?,Cọ nên tự cắt tóc hong?,,
story.Global.prologue_item_scissors.choice.8d1d83f3fe67710a3aaa4042c5dd4bdf7157a98c,I guess…,Chắc rứa,,
story.Global.prologue_item_scissors.choice.2d5f5b0553b68392fe5836efa5e0f9f90f568416,Forget it,Mà thâu đi,
,,,,
story.Global.prologue_item_scissors.text.a02d057a764ee283c5f00e69709935565643195a,Sigh…,Hầy,Kat,
story.Global.prologue_item_scissors.text.b6ec1c5bd6f96b16a291a513b560b1983297a61d,"Here I go, I suppose…",Chắc tự cắt dậy...,Kat,
story.Global.prologue_item_scissors.text.6ebeaa4751257aa77168c77473d8692a0199152d,I never want to do that again.,Lần sau nỏ mần rứa nựa,Kat,
story.Global.prologue_item_scissors.text.78513c428da3e82b3d9c0e31eaa6102d16f7c005,"You're so brave, Kat.",Can đổm qué Kat âu,Kaya,
,,,,
story.Global.prologue_item_scissors.text.3ff88283e120b72b59210fe456db1fc6a4c74fdb,Of course not.,Tứt nhiêng là hong.,Kat,
,,,,
story.Global.prologue_item_scissors.text.32646a8dbfe784832b3847f9b024f87205853d07,I already have enough hair.,Miềng cọ đủ tóc rầu mờ,Kat,
,,,,
story.Global.prologue_item_scissors.text.79e6a54246ee62a14f305087f065be2ea7a2b604,(Nah.),(Hong.),Kat,
story.Global.prologue_item_scissors.text.e0d56e99f7f18c0f7f197515332e77d24b1068e9,Um… any takers?,Cọ bạn mô tình nguỵng hong?,Kat,
story.Global.prologue_item_scissors.text.2ef875b9bf67843ac034ca44671c7357f60255b4,What do you need?,Mún chi?,Juli,
story.Global.prologue_item_scissors.text.d4c6c3f8b8516e6a743b615a77e03bc80be2ddbc,Just a bit of hair.,Nạm tóc,Kat,
story.Global.prologue_item_scissors.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,…,...,Juli/Saki,
story.Global.prologue_item_scissors.text.e30f3c86e1e54871aa0c80885c778267a1aca22f,Why don't you cut your own?,Răng hỏng tự cắt đi ?,Saki,
story.Global.prologue_item_scissors.text.b1e1fd09c18df25d856d59b0e362e11e80ed68fc,I thought you girls wanted to participate…?,Tưởng mấy bạn mún dô nghi thức chớ,Kat,
story.Global.prologue_item_scissors.text.5c377cf4c3299f9f518367c13d3863d0ab1b545a,I don't mind helping…,Để cắt cho,Kaya,
story.Global.prologue_item_scissors.text.6b8efc2754ea972eea1dcb93b3fca3738da20471,"No Kaya, you don't have to do that.",Khỏi đi,Juli,
story.Global.prologue_item_scissors.text.fa7f93dd464072501445b80148b6d229f773d94c,"It's alright, I'll give you mine.","Để bạn cắt cho bạn",Juli,
story.Global.prologue_item_scissors.text.82ba6b6db8766abe5f278ec33f1f6d3cf2719ca3,…!,...!,Saki,
story.Global.prologue_item_scissors.text.5ecb60ad93beec9f6d69bbf790ed1d33b9749cdc,There's no need for that. I'll just cut some of mine.,Thâu. Để bạn cắt cho,Saki,
story.Global.prologue_item_scissors.text.410bf23a3f080def9c7a976a16305bcde7943ed1,Are you sure?,Chắc chưa ?,Juli,
story.Global.prologue_item_scissors.text.ec464bdb4829dcbd6f74720473f19a797656aea5,"Yeah, it would be a waste to use yours.","Ờ, xài tóc bạn uổng lốm.",Saki,
story.Global.prologue_item_scissors.text.17187cd84374b97703ac5802bc0c9ea23b8311a4,Alright.,Ời.,Juli,
,,,,
story.Global.prologue_item_scissors.rename.item.desc.b924a78017636f3735c09c529b33c86aeacaa900,A tuft of hair from Saki. She gave it to me voluntarily.,Nạm tóc cụa Saki. Bạn nớ tình nguỵng đưa cho miềng,,
,,,,
story.Global.prologue_item_scissors.text.1da20795f84bb9c5e16697aea34f14720e38fc37,Thanks!,Cớm ơng he,Kat,
story.Global.prologue_item_scissors.text.35eb9e717891b07fff1a471c25fa342413fc864e,Uuugh…,Ư hư hư…,Saki,
,,,,
story.Global.prologue_unlock_extra_room.text.fd69fc482977a9f7aee2cc389fdb6172df339e82,It's so dark…,Túi qué...,Kaya,
story.Global.prologue_unlock_extra_room.text.e9a66c9adb3c4ff81064de30207c4eeb1e9029fd,Let's see what's behind this door.,Chừ coi đằng sau cựa ni là chi nà.,Kat,
story.Global.prologue_unlock_extra_room.text.becb9893fa83fdafc979a198cb7f898809f30294,Maybe we'll find exam answers!,Chắc lè chộ đề thi tuỷng sanh,Saki,
story.Global.prologue_unlock_extra_room.text.2547c30e4bc8144ed37b99051b2836bfc5d9ede1,Or dead bodies!,Quặc là xác chớt,Kaya,
story.Global.prologue_unlock_extra_room.text.14813cc09f979c94bf360c77d29a79f295111cab,Or… maybe it's just a supply closet.,Quặc chỉ là nhà kho thâu,Juli,
story.Global.prologue_unlock_extra_room.text.3b81e6f71341dc61374695996b441fa43ba7a530,Heh.,Heh.,Kat,
